File_1,File_2,Label,Clone_type
submission1.py,submission2.py,1,1
submission1.py,submission3.py,0,0
submission1.py,submission4.py,1,3
submission1.py,submission5.py,0,0
submission2.py,submission3.py,0,0
submission2.py,submission4.py,1,3
submission2.py,submission5.py,0,0
submission3.py,submission4.py,0,0
submission3.py,submission5.py,0,0
submission4.py,submission5.py,0,0
submission6.py,submission7.py,1,2
submission8.py,submission9.py,1,2
submission10.py,submission11.py,0,0
submission14.py,submission15.py,1,2
submission16.py,submission17.py,1,3
submission18.py,submission19.py,1,2
submission20.py,submission21.py,1,2
submission22.py,submission23.py,1,3
submission24.py,submission25.py,1,2
submission26.py,submission27.py,1,2
submission28.py,submission29.py,1,2
submission30.py,submission31.py,0,0
submission31.py,submission32.py,1,1
submission33.py,submission34.py,0,0
submission35.py,submission36.py,0,0
submission35.py,submission37.py,1,2
submission36.py,submission37.py,0,0
submission35.py,submission38.py,0,0
submission36.py,submission38.py,0,0
submission37.py,submission38.py,0,0
submission35.py,submission39.py,1,2
submission36.py,submission39.py,0,0
submission37.py,submission39.py,1,2
submission38.py,submission39.py,0,0
submission40.py,submission41.py,1,2
submission40.py,submission42.py,1,2
submission41.py,submission42.py,1,2
submission40.py,submission43.py,0,0
submission41.py,submission43.py,0,0
submission42.py,submission43.py,0,0
submission40.py,submission44.py,1,2
submission41.py,submission44.py,1,2
submission42.py,submission44.py,1,2
submission43.py,submission44.py,0,0
submission45.py,submission46.py,0,0
submission45.py,submission47.py,1,2
submission46.py,submission47.py,0,0
submission45.py,submission48.py,0,0
submission46.py,submission48.py,0,0
submission47.py,submission48.py,0,0
submission45.py,submission49.py,1,2
submission46.py,submission49.py,0,0
submission47.py,submission49.py,1,2
submission48.py,submission49.py,0,0
submission50.py,submission51.py,0,0
submission50.py,submission52.py,1,2
submission51.py,submission52.py,0,0
submission50.py,submission53.py,0,0
submission51.py,submission53.py,0,0
submission52.py,submission53.py,0,0
submission50.py,submission54.py,1,3
submission51.py,submission54.py,0,0
submission52.py,submission54.py,1,3
submission53.py,submission54.py,0,0
submission55.py,submission56.py,1,3
submission55.py,submission57.py,0,0
submission56.py,submission57.py,0,0
submission55.py,submission58.py,1,2
submission56.py,submission58.py,0,0
submission57.py,submission58.py,0,0
submission55.py,submission59.py,0,0
submission56.py,submission59.py,0,0
submission57.py,submission59.py,0,0
submission58.py,submission59.py,0,0
submission55.py,submission60.py,0,0
submission56.py,submission60.py,1,2
submission57.py,submission60.py,0,0
submission58.py,submission60.py,0,0
submission59.py,submission60.py,0,0
submission61.py,submission62.py,1,3
submission61.py,submission63.py,0,0
submission62.py,submission63.py,0,0
submission61.py,submission64.py,0,0
submission62.py,submission64.py,0,0
submission63.py,submission64.py,0,0
submission61.py,submission65.py,0,0
submission62.py,submission65.py,0,0
submission63.py,submission65.py,0,0
submission64.py,submission65.py,0,0
submission61.py,submission66.py,0,0
submission62.py,submission66.py,0,0
submission63.py,submission66.py,0,0
submission64.py,submission66.py,0,0
submission65.py,submission66.py,1,2
submission67.py,submission68.py,1,3
submission67.py,submission69.py,0,0
submission68.py,submission69.py,0,0
submission67.py,submission70.py,0,0
submission68.py,submission70.py,0,0
submission69.py,submission70.py,0,0
submission67.py,submission71.py,0,0
submission68.py,submission71.py,0,0
submission69.py,submission71.py,0,0
submission70.py,submission71.py,0,0
submission67.py,submission72.py,0,0
submission68.py,submission72.py,0,0
submission69.py,submission72.py,0,0
submission70.py,submission72.py,0,0
submission71.py,submission72.py,0,0
submission73.py,submission74.py,1,3
submission73.py,submission75.py,0,0
submission74.py,submission75.py,0,0
submission73.py,submission76.py,0,0
submission74.py,submission76.py,0,0
submission75.py,submission76.py,0,0
submission77.py,submission78.py,1,3
submission77.py,submission79.py,0,0
submission78.py,submission79.py,0,0
submission77.py,submission80.py,0,0
submission78.py,submission80.py,0,0
submission79.py,submission80.py,1,3
submission77.py,submission81.py,1,3
submission78.py,submission81.py,1,3
submission79.py,submission81.py,0,0
submission80.py,submission81.py,0,0
submission82.py,submission83.py,0,0
submission82.py,submission84.py,0,0
submission83.py,submission84.py,0,0
submission82.py,submission85.py,1,3
submission83.py,submission85.py,0,0
submission84.py,submission85.py,0,0
submission82.py,submission86.py,0,0
submission83.py,submission86.py,0,0
submission84.py,submission86.py,0,0
submission85.py,submission86.py,0,0
submission97.py,submission88.py,0,0
submission87.py,submission89.py,0,0
submission88.py,submission89.py,0,0
submission87.py,submission90.py,0,0
submission88.py,submission90.py,0,0
submission89.py,submission90.py,0,0
submission87.py,submission91.py,0,0
